rep,throughput_per_hr,avg_lead_time_min,generated,completed,downtime_total_min,quality_rate
1,4.25,24.313386567106523,34,34,7.003383183267232,1.0
2,3.875,23.25410656846984,32,31,9.999099666864048,1.0
3,3.5,23.603533231106926,30,28,16.77204812685821,1.0
4,3.5,29.07888963780862,31,28,47.40324296586445,0.9642857142857143
5,4.125,46.01972670551856,36,33,117.79267191116085,1.0
6,3.0,22.00270379453574,26,24,0.0,0.9583333333333334
7,3.375,24.68386886142341,31,27,0.0,0.962962962962963
8,3.625,37.0570565607094,29,29,64.2864671902426,1.0
9,4.0,28.35850292389871,34,32,20.89815886602804,0.96875
10,4.25,25.180106720765757,34,34,22.303220014513418,1.0
11,3.625,25.760937028669677,31,29,38.347545648325564,0.9655172413793104
12,3.0,27.60182310698292,27,24,40.03712063572098,1.0
13,3.25,39.55643301495894,26,26,99.39086510287432,1.0
14,4.625,29.312656244487734,39,37,0.0,1.0
15,4.0,31.503689767749663,38,32,26.86428424283382,1.0
16,2.5,25.13504003677158,20,20,23.139925710989075,1.0
17,3.125,25.0955806816455,26,25,38.19808406163449,1.0
18,2.625,23.31949756937054,23,21,0.0,0.9523809523809523
19,3.125,25.289711763382545,27,25,51.159575216152575,1.0
20,2.875,25.020818310761776,24,23,26.443687073726778,0.9565217391304348
21,3.875,32.4030752063903,35,31,59.72886378101316,1.0
22,4.25,28.096287810937945,36,34,26.495181451282747,1.0
23,4.125,28.987856583417074,34,33,7.6084789645084925,0.9696969696969697
24,3.5,26.22913673700258,31,28,43.762770063250315,0.9642857142857143
25,3.375,22.543713542080244,31,27,13.998908848828705,0.9259259259259259
26,3.875,28.801256233915357,33,31,36.00861723211682,1.0
27,2.75,25.976447084515204,22,22,15.558169802977915,1.0
28,4.125,28.610449875298453,35,33,18.271447136646017,1.0
29,3.125,23.891862355629154,28,25,0.0,0.96
30,2.5,24.753963172277373,21,20,6.077492280382131,1.0
